t,ground_truth_configuration,ground_truth_configuration_feasibility,baseline_configuration,baseline_configuration_feasibility,ares_configuration,ares_configuration_feasibility,ares_reconfiguration
0,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
1,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
2,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
3,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
4,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
5,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
6,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
7,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
8,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
9,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
10,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
11,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
12,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
13,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
14,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
15,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
16,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
17,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
18,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
19,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
20,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
21,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
22,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
23,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
24,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
25,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
26,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
27,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
28,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
29,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
30,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
31,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
32,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
33,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
34,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
35,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
36,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
37,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
38,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
39,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
40,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
41,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
42,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
43,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
44,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
45,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
46,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
47,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
48,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
49,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
50,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
51,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
52,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
53,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
54,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
55,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
56,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
57,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
58,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
59,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
60,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
61,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
62,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
63,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
64,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
65,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
66,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
67,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
68,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
69,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
70,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
71,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
72,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
73,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
74,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
75,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
76,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
77,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
78,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
79,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
80,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
81,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
82,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
83,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
84,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
85,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
86,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
87,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
88,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
89,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
90,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
91,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
92,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
93,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
94,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
95,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
96,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
97,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
98,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
99,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
100,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
101,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
102,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
103,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
104,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
105,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
106,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
107,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
108,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
109,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
110,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
111,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
112,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
113,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
114,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
115,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
116,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
117,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
118,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
119,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
120,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
121,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
122,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
123,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
124,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
125,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
126,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
127,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
128,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
129,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
130,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
131,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
132,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
133,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
134,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
135,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
136,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
137,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
138,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
139,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
140,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
141,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
142,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
143,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
144,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
145,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
146,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
147,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
148,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
149,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
150,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
151,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
152,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
153,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
154,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
155,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
156,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
157,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
158,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
159,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
160,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
161,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
162,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
163,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
164,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
165,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
166,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
167,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
168,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
169,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
170,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
171,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
172,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
173,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
174,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
175,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
176,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
177,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
178,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
179,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
180,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
181,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
182,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
183,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
184,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
185,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
186,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
187,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
188,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
189,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
190,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
191,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
192,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
193,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
194,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
195,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
196,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
197,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
198,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
199,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
200,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
201,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
202,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
203,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
204,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
205,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
206,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
207,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
208,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
209,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
210,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
211,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
212,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
213,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
214,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
215,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
216,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
217,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
218,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
219,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
220,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
221,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
222,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
223,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
224,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
225,Smart Scale,True,Smart Scale,True,Smart Scale,True,True
226,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
227,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
228,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
229,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
230,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
231,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
232,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
233,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
234,Smart Scale,True,Smart Scale,True,Smart Scale,True,False
